,name,rating,reviews,field,employees,ctype,old,location
0,TCS,3.8,64.3k,IT Services & Consulting , 1 Lakh+ Employees , Public , 55 years old , Mumbai +286 more
1,Accenture,4.1,41k,IT Services & Consulting , 1 Lakh+ Employees , Public , 34 years old , Dublin +143 more
2,Cognizant,3.9,37.3k,IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 29 years old , Teaneck. New Jersey. +112 more
3,Wipro,3.8,34k,IT Services & Consulting , 1 Lakh+ Employees , Public , 78 years old , Bangalore/Bengaluru +247 more
4,ICICI Bank,4.0,30.1k,Banking , 1 Lakh+ Employees , Public , 29 years old , Mumbai +1202 more
5,HDFC Bank,3.9,29.7k,Banking , 1 Lakh+ Employees , Public , 29 years old , Mumbai +1433 more
6,Infosys,3.9,28.1k,IT Services & Consulting , 1 Lakh+ Employees , Public , 42 years old , Bengaluru/Bangalore +136 more
7,Capgemini,3.9,26.1k,IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Paris +89 more
8,Tech Mahindra,3.7,24.4k,IT Services & Consulting , 1 Lakh+ Employees , Public , 37 years old , Pune +236 more
9,HCLTech,3.7,23.7k,IT Services & Consulting , 1 Lakh+ Employees , Public , 32 years old , Noida +155 more
10,Genpact,3.9,23.5k,IT Services & Consulting , 50k-1 Lakh Employees , Public , 26 years old , New York +80 more
11,Axis Bank,3.8,19.8k,Banking , 50k-1 Lakh Employees , Public , 30 years old , Mumbai +1231 more
12,Concentrix Corporation,3.9,19.1k,BPO , 50k-1 Lakh Employees , Public , 40 years old , Fremont +87 more
13,Amazon,4.2,18.4k,Internet , 1 Lakh+ Employees , Public , 29 years old , Seattle +396 more
14,Reliance Jio,3.9,18k,Telecom , 50k-1 Lakh Employees , Public , 16 years old , Navi Mumbai +1098 more
15,IBM,4.1,18k,Software Product , 50k-1 Lakh Employees , Public , 112 years old , Armonk +133 more
16,Larsen & Toubro Limited,4.0,16.9k,Engineering & Construction , 1 Lakh+ Employees , Public , 85 years old , Mumbai +582 more
17,Reliance Retail,3.9,16k,Retail , 1 Lakh+ Employees , 17 years old , Navi Mumbai +914 more,
18,HDB Financial Services,4.0,15.9k,NBFC , 1 Lakh+ Employees , 16 years old , Ahmedabad +899 more,
19,Teleperformance,3.6,15.1k,BPO , 10k-50k Employees , Forbes Global 2000 , 45 years old , Paris +130 more
20,Vodafone Idea,4.2,14.4k,10k-50k Employees , Public , 5 years old , Mumbai +610 more,
21,Deloitte,4.0,12.9k,Management Consulting , 1 Lakh+ Employees , 178 years old , London +146 more,
22,BYJU'S,3.2,12.8k,EdTech , 1k-5k Employees , Indian Unicorn , 12 years old , Bangalore +290 more
23,Kotak Mahindra Bank,3.8,12.6k,Banking , 10k-50k Employees , Public , 20 years old , Mumbai +515 more
24,Reliance Industries,4.0,11.8k,Oil & Gas , Public , 46 years old , Navi Mumbai +591 more,
25,Bharti Airtel,4.0,10.9k,Telecom , 10k-50k Employees , Public , 28 years old , Gurgaon/Gurugram +603 more
26,Tata Motors,4.2,10.1k,Automobile , 10k-50k Employees , Public , 78 years old , Pune +420 more
27,Ernst & Young,3.7,8.9k,Accounting & Auditing , 10k-50k Employees , 21 years old , London +88 more,
28,Flipkart,4.1,8.8k,Internet , 10k-50k Employees , Public , 16 years old , Bangalore +499 more
29,WNS,3.6,8.6k,BPO , 10k-50k Employees , 27 years old , Mumbai +30 more,
30,IndusInd Bank,3.7,8.2k,Banking , 10k-50k Employees , Public , 29 years old , Gurgaon/Gurugram +631 more
31,Mahindra & Mahindra,4.1,8.1k,Automobile , 1 Lakh+ Employees , Public , 78 years old , Mumbai +451 more
32,iEnergizer,4.4,7.7k,BPO , 10k-50k Employees , 23 years old , Noida +19 more,
33,Infosys BPM,3.9,7.4k,Analytics & KPO , 10k-50k Employees , 21 years old , Bangalore/Bengaluru +54 more,
34,DXC Technology,3.8,7.4k,IT Services & Consulting , 10k-50k Employees , Public , 6 years old , Minato +59 more
35,IDFC FIRST Bank,4.0,7k,Banking , 10k-50k Employees , Public , 5 years old , Mumbai +508 more
36,Conneqt Business Solutions,3.7,6.8k,Analytics & KPO , 10k-50k Employees , 21 years old , Mumbai +186 more,
37,Bajaj Finserv,4.0,6.4k,Insurance , 10k-50k Employees , Public , 16 years old , Pune +788 more
38,LTIMindtree,3.8,6.4k,IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Bangalore/Bengaluru +40 more
39,Hinduja Global Solutions,4.0,6.4k,Software Product , 10k-50k Employees , Public , 23 years old , Bangalore/Bengaluru +85 more
40,HSBC Group,4.1,6.3k,Banking , 10k-50k Employees , Forbes Global 2000 , 21 years old , Pune +55 more
41,Mphasis,3.5,6.2k,IT Services & Consulting , 10k-50k Employees , Public , 25 years old , Bangalore/Bengaluru +41 more
42,Startek,3.2,6.1k,BPO , 10k-50k Employees , Public , 6 years old , Mumbai +60 more
43,Ericsson,4.3,6k,10k-50k Employees , Forbes Global 2000 , 147 years old , Stockholm +140 more,
44,PwC,3.7,6k,Accounting & Auditing , 10k-50k Employees , Conglomerate , 143 years old , London +79 more
45,Maruti Suzuki,4.2,5.9k,Automobile , 10k-50k Employees , Public , 42 years old , New Delhi +339 more
46,HDFC Life,4.1,5.8k,Insurance , 10k-50k Employees , Public , 1 years old , Mumbai +485 more
47,Yes Bank,3.9,5.7k,Banking , 10k-50k Employees , Public , 19 years old , Mumbai +412 more
48,Asian Paints,4.1,5.6k,Chemicals , 10k-50k Employees , Public , 81 years old , Mumbai +380 more
49,Dr. Reddy's,4.2,5.6k,Pharma , 10k-50k Employees , Public , 39 years old , Hyderabad/Secunderabad +151 more
50,Cipla Pharmaceutical,4.1,5.5k,Pharma , 10k-50k Employees , Public , 88 years old , Mumbai +208 more
51,Sutherland Global Services,3.8,5.4k,IT Services & Consulting , 10k-50k Employees , 37 years old , Pittsford +46 more,
52,NTT DATA,4.0,5.2k,IT Services & Consulting , 10k-50k Employees , 35 years old , Chiyoda City +45 more,
53,ICICI Prudential Life Insurance,4.1,5.2k,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +428 more
54,EXL Service,3.8,5.2k,Analytics & KPO , 10k-50k Employees , 24 years old , New York City +37 more,
55,Jana Small Finance Bank,3.8,5.1k,Banking , 10k-50k Employees , Public , 17 years old , Bangalore/Bengaluru +329 more
56,UltraTech Cement,4.2,5k,Building Material , 10k-50k Employees , Public , 40 years old , Mumbai +397 more
57,HCL Group,3.7,5k,IT Services & Consulting , 1 Lakh+ Employees , 47 years old , Chennai +67 more,
58,Udaan,4.0,5k,Internet , 1k-5k Employees , Indian Unicorn , 7 years old , Bangalore +328 more
59,Lupin,4.1,5k,Pharma , 10k-50k Employees , Public , 55 years old , Mumbai +149 more
60,Bandhan Bank,3.8,4.9k,Banking , 50k-1 Lakh Employees , Public , 22 years old , Kolkata +670 more
61,Paytm,3.5,4.9k,FinTech , 5k-10k Employees , Public , 13 years old , Noida +274 more
62,Bajaj Finance,4.1,4.8k,NBFC , 10k-50k Employees , 36 years old , Pune +705 more,
63,L&T Infotech,3.8,4.8k,IT Services & Consulting , 10k-50k Employees , Public , 27 years old , Mumbai +74 more
64,ITC,3.9,4.7k,FMCG , 10k-50k Employees , Public , 48 years old , Kolkata +277 more
65,Indian Army,4.7,4.6k,Defence & Aerospace , 1 Lakh+ Employees , Public , 128 years old , New Delhi +294 more
66,AU Small Finance Bank,4.2,4.6k,Financial Services , 10k-50k Employees , Fortune India 500 , 27 years old , Jaipur +344 more
67,Wells Fargo,4.1,4.5k,Banking , 10k-50k Employees , Public , 171 years old , San Francisco +19 more
68,JP Morgan Chase,4.2,4.5k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 23 years old , New York +30 more
69,FIS,4.0,4.5k,IT Services & Consulting , 5k-10k Employees , 55 years old , Jacksonville +36 more,
70,Delhivery,4.0,4.5k,Logistics , 10k-50k Employees , Fortune India 500 , 12 years old , Delhi +561 more
71,Hindustan Unilever,4.2,4.5k,FMCG , 10k-50k Employees , Public , 151 years old , London +399 more
72,IIFL Finance,3.8,4.4k,Financial Services , 10k-50k Employees , Public , 28 years old , Mumbai +597 more
73,Amazon Development Centre India,4.2,4.3k,Internet , 10k-50k Employees , Hyderabad/Secunderabad +54 more,,
74,Quess,3.9,4.3k,Recruitment , 1 Lakh+ Employees , Public , 16 years old , Bangalore +452 more
75,TATA Steel,4.1,4.2k,Iron & Steel , 1 Lakh+ Employees , Public , 116 years old , Mumbai +139 more
76,Home Credit Finance,4.2,4.2k,Financial Services , 5k-10k Employees , 11 years old , Gurugram +108 more,
77,KPMG India,3.6,4.2k,Management Consulting , 10k-50k Employees , 36 years old , Bengaluru/Bangalore +70 more,
78,Hexaware Technologies,3.7,4.1k,IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 33 years old , Mumbai +35 more
79,Sun Pharmaceutical Industries,4.1,4.1k,Pharma , 10k-50k Employees , Public , 40 years old , Mumbai +175 more
80,Ujjivan Small Finance Bank,4.1,4k,Banking , 10k-50k Employees , Public , 6 years old , Bangalore/Bengaluru +403 more
81,JSW Steel,3.9,4k,Iron & Steel , 10k-50k Employees , Public , 41 years old , Mumbai +114 more
82,OPPO,3.9,4k,Consumer Electronics & Appliances , 10k-50k Employees , Public , 19 years old , Dongguan +353 more
83,Shapoorji Pallonji Group,4.2,4k,Engineering & Construction , 5k-10k Employees , Conglomerate , 158 years old , Mumbai +150 more
84,Max Life Insurance,4.1,3.9k,Insurance , 10k-50k Employees , 23 years old , Gurgaon/Gurugram +353 more,
85,Muthoot Finance,3.5,3.9k,NBFC , 10k-50k Employees , Public , 84 years old , Kochi/Cochin +565 more
86,Oracle,3.9,3.9k,Software Product , 50k-1 Lakh Employees , Public , 46 years old , Austin +38 more
87,Shriram Transport Finance,4.1,3.9k,NBFC , 10k-50k Employees , Public , 44 years old , Mumbai +746 more
88,Ashok Leyland,4.1,3.9k,Automobile , 10k-50k Employees , Public , 75 years old , Chennai +195 more
89,eClerx,3.5,3.9k,IT Services & Consulting , 10k-50k Employees , Public , 23 years old , Mumbai +16 more
90,Aurobindo Pharma,4.0,3.9k,Pharma , 10k-50k Employees , Public , 37 years old , Hyderabad/Secunderabad +55 more
91,Vivo,4.0,3.9k,Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 14 years old , Gurgaon/Gurugram +352 more
92,Apollo Hospitals,4.1,3.8k,Healthcare , 50k-1 Lakh Employees , Public , 40 years old , Chennai +171 more
93,Siemens,4.2,3.8k,Power , 5k-10k Employees , Public , 176 years old , Munich +117 more
94,Tata Projects,4.2,3.8k,Engineering & Construction , 10k-50k Employees , Public , 44 years old , Mumbai +222 more
95,Capgemini Technology Services India Limited,4.0,3.8k,Bengaluru/Bangalore +33 more,,,,
96,Zydus Cadila,4.2,3.8k,Pharma , 10k-50k Employees , Public , 71 years old , Ahmedabad +124 more
97,JLL,4.2,3.8k,Real Estate , 5k-10k Employees , Forbes Global 2000 , 26 years old , Mumbai +66 more
98,First Source,3.8,3.7k,BPO , 10k-50k Employees , Public , 22 years old , Mumbai +49 more
99,JustDial,3.5,3.6k,Internet , 10k-50k Employees , Public , 27 years old , Mumbai +156 more
100,Hero MotoCorp,4.1,3.6k,Automobile , 5k-10k Employees , Public , 39 years old , Gurgaon/Gurugram +292 more
101,Hewlett-Packard Enterprise,4.3,3.6k,Emerging Technologies , 10k-50k Employees , Forbes Global 2000 , 8 years old , Houston +89 more
102,L&T Construction,4.0,3.6k,Engineering & Construction , 10k-50k Employees , Public , 79 years old , Chennai +296 more
103,Omega Healthcare,3.7,3.6k,IT Services & Consulting , 5k-10k Employees , 19 years old , Florida +32 more,
104,Mahindra & Mahindra Financial Services,4.3,3.5k,NBFC , 10k-50k Employees , Public , 32 years old , Mumbai +605 more
105,Megha Engineering & Infrastructures,4.1,3.5k,Engineering & Construction , 5k-10k Employees , Conglomerate , 34 years old , Hyderabad/Secunderabad +259 more
106,Cyient,3.7,3.5k,IT Services & Consulting , 10k-50k Employees , Public , 32 years old , Hyderabad/Secunderabad +27 more
107,Bajaj Allianz Life Insurance,4.1,3.4k,Insurance , 10k-50k Employees , 22 years old , Pune +468 more,
108,D Mart,3.9,3.4k,Retail , 10k-50k Employees , Fortune India 500 , 4 years old , Mumbai +198 more
109,Hyundai Motor,4.3,3.4k,Automobile , 10k-50k Employees , Fortune India 500 , 56 years old , Seoul +249 more
110,Reliance Communications,3.9,3.3k,Telecom , 10k-50k Employees , Public , 21 years old , Navi Mumbai +404 more
111,BigBasket,4.0,3.3k,Internet , 10k-50k Employees , Indian Unicorn , 12 years old , Bangalore +102 more
112,TVS Motor,4.1,3.3k,Automobile , 10k-50k Employees , Public , 44 years old , Chennai +252 more
113,Indiamart Intermesh,3.6,3.3k,Internet , 10k-50k Employees , 27 years old , Noida +124 more,
114,Oyo Rooms,3.4,3.2k,Hospitality , 1k-5k Employees , Indian Unicorn , 10 years old , Gurgaon +109 more
115,Bosch,4.3,3.2k,Auto Components , 10k-50k Employees , Public , 137 years old , Gerlingen +92 more
116,Atos Syntel,3.6,3.2k,IT Services & Consulting , 5k-10k Employees , 43 years old , Troy +17 more,
117,Manappuram Finance,4.0,3.2k,NBFC , 10k-50k Employees , Public , 74 years old , Thrissur/Trichur +449 more
118,Bosch Global Software Technologies,4.2,3.2k,Software Product , 10k-50k Employees , 33 years old , Gerlingen +24 more,
119,SBI Cards & Payment Services,3.7,3.2k,1k-5k Employees , 25 years old , Gurgaon/Gurugram +300 more,,
120,BNY Mellon,4.1,3.2k,IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 19 years old , New York City +14 more
121,Cummins,4.3,3.1k,Auto Components , 10k-50k Employees , Fortune India 500 , 61 years old , Columbus +92 more
122,Future Group,4.2,3.1k,Retail , 10k-50k Employees , Conglomerate , 10 years old , Mumbai +196 more
123,SMFG India Credit,4.1,3.1k,NBFC , 10k-50k Employees , 16 years old , Mumbai +454 more,
124,Intelenet Global Services,3.7,3.1k,BPO , 10k-50k Employees , 23 years old , Mumbai +57 more,
125,Coforge,3.6,3.1k,IT Services & Consulting , 10k-50k Employees , Public , 19 years old , Noida +78 more
126,IQVIA,4.1,3.1k,Clinical Research , 10k-50k Employees , Forbes Global 2000 , 41 years old , Durham +37 more
127,Nagarro,4.3,3.1k,IT Services & Consulting , 10k-50k Employees , 27 years old , Munich +33 more,
128,ICICI Lombard General Insurance Company,3.8,3.1k,Insurance , 10k-50k Employees , Public , 22 years old , Mumbai +233 more
129,Virtusa Consulting Services,3.8,3.1k,IT Services & Consulting , 10k-50k Employees , 27 years old , Southborough +27 more,
130,UST,3.8,3.1k,IT Services & Consulting , 10k-50k Employees , 22 years old , Aliso Viejo +32 more,
131,GlobalLogic,3.8,3.1k,IT Services & Consulting , 10k-50k Employees , 23 years old , San Jose +25 more,
132,Amdocs,4.0,3.1k,Software Product , 10k-50k Employees , Forbes Global 2000 , 41 years old , Chesterfield +13 more
133,Schneider Electric,4.1,3k,Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 24 years old , Paris +97 more
134,CBRE,4.2,3k,Real Estate , 10k-50k Employees , Forbes Global 2000 , 117 years old , Los Angeles +62 more
135,Samsung,4.1,3k,5k-10k Employees , Public , 85 years old , Seoul +396 more,
136,Dell,4.1,2.9k,Consumer Electronics & Appliances , 10k-50k Employees , Forbes Global 2000 , 39 years old , Round Rock +83 more
137,JBM Group,4.0,2.9k,Auto Components , 10k-50k Employees , Public , 40 years old , Gurgaon/Gurugram +78 more
138,Ecom Express,4.1,2.9k,Logistics , 10k-50k Employees , 11 years old , Gurgaon +570 more,
139,State Bank of India,3.8,2.9k,Banking , 1 Lakh+ Employees , Fortune India 500 , 217 years old , Mumbai +431 more
140,Cholamandalam Investment & Finance,4.1,2.9k,NBFC , 5k-10k Employees , Fortune India 500 , 45 years old , Chennai +566 more
141,Swiggy,3.9,2.9k,Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Bangalore +157 more
142,Bajaj Auto,3.9,2.9k,Automobile , 5k-10k Employees , Public , 78 years old , Pune +220 more
143,L&T Technology Services,3.4,2.8k,IT Services & Consulting , 10k-50k Employees , Public , 11 years old , Vadodara/Baroda +36 more
144,Equitas Small Finance Bank,4.1,2.8k,Banking , 10k-50k Employees , Fortune India 500 , 16 years old , Chennai +323 more
145,SBI Life Insurance Company,3.8,2.8k,Insurance , 10k-50k Employees , 22 years old , Mumbai +486 more,
146,Ekart Logistics,4.1,2.8k,Logistics , 5k-10k Employees , 14 years old , San Francisco +501 more,
147,Viatris,4.3,2.8k,Pharma , 10k-50k Employees , Forbes Global 2000 , 62 years old , Canonsburg +64 more
148,Nagarjuna Construction Company,4.1,2.8k,Engineering & Construction , 1k-5k Employees , Public , 25 years old , Hyderabad/Secunderabad +200 more
149,KEC International,4.1,2.8k,Engineering & Construction , 5k-10k Employees , Public , 78 years old , Mumbai +241 more
150,Samvardhana Motherson Group,3.8,2.8k,Auto Components , 5k-10k Employees , Public , 37 years old , Noida +70 more
151,Optum,4.1,2.8k,Healthcare , 10k-50k Employees , 46 years old , Prairie +24 more,
152,Aditya Birla Fashion and Retail,4.2,2.8k,Retail , 10k-50k Employees , Fortune India 500 , 8 years old , Mumbai +213 more
153,Godrej & Boyce Manufacturing,3.9,2.8k,FMCG , 10k-50k Employees , Fortune India 500 , 126 years old , Mumbai +122 more
154,Muthoot Fincorp,4.0,2.8k,NBFC , 10k-50k Employees , Conglomerate , 136 years old , Trivandrum/Thiruvananthapuram +503 more
155,Royal Enfield,4.2,2.7k,Automobile , 1k-5k Employees , 122 years old , Gurgaon/Gurugram +277 more,
156,Piramal Capital Housing Finance,4.3,2.7k,NBFC , 5k-10k Employees , 3 years old , Mumbai +300 more,
157,Tata Communications,4.1,2.7k,Telecom , 5k-10k Employees , Public , 37 years old , Mumbai +82 more
158,LG Electronics,4.0,2.7k,Consumer Electronics & Appliances , 10k-50k Employees , Public , 65 years old , Seoul +224 more
159,John Deere,4.3,2.7k,IT Services & Consulting , 5k-10k Employees , Fortune India 500 , 22 years old , Moline +106 more
160,L&T Finance,4.0,2.7k,NBFC , 10k-50k Employees , Public , 29 years old , Mumbai +441 more
161,Whitehat jr,3.6,2.7k,EdTech , 5k-10k Employees , Startup , 5 years old , Mumbai +48 more
162,Intas Pharmaceuticals,4.2,2.7k,Pharma , 10k-50k Employees , Fortune India 500 , 23 years old , Ahmedabad +107 more
163,Thermax Limited,4.2,2.6k,Industrial Machinery , 1k-5k Employees , Public , 57 years old , Pune +151 more
164,Varun Beverages,4.0,2.6k,Beverage , 10k-50k Employees , Public , 28 years old , Gurgaon/Gurugram +247 more
165,Ford Motor,4.5,2.6k,Automobile , 5k-10k Employees , Public , 120 years old , Dearborn +102 more
166,Sodexo,4.1,2.6k,Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 15 years old , Issy les Moulineaux +121 more
167,Deutsche Bank,4.1,2.5k,Banking , 10k-50k Employees , Fortune India 500 , 153 years old , Frankfurt +33 more
168,Hetero Drugs,3.8,2.5k,Pharma , 1k-5k Employees , 30 years old , Hyderabad/Secunderabad +34 more,
169,Abbott Healthcare,4.1,2.5k,Pharma , 1k-5k Employees , Public , 32 years old , Illinois City +163 more
170,Randstad,3.9,2.5k,1k-5k Employees , Conglomerate , 31 years old , Chennai +226 more,
171,Subros,4.0,2.5k,Auto Components , 1k-5k Employees , Public , 38 years old , Noida +43 more
172,UnitedHealth,4.2,2.5k,Healthcare , 10k-50k Employees , Forbes Global 2000 , 46 years old , Minnetonka +14 more
173,Havells,4.1,2.5k,Electrical Equipment , 5k-10k Employees , Public , 40 years old , Noida +158 more
174,Macleods Pharmaceuticals,3.8,2.5k,Pharma , 5k-10k Employees , Public , 37 years old , Mumbai +84 more
175,VE Commercial Vehicles,4.0,2.5k,Automobile , 1k-5k Employees , 15 years old , Gurgaon/Gurugram +117 more,
176,Automatic Data Processing (ADP),4.1,2.5k,IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 74 years old , New Jersey +17 more
177,American Express,4.3,2.5k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 173 years old , New York City +39 more
178,CARS24,3.6,2.4k,Internet , 5k-10k Employees , Indian Unicorn , 8 years old , Gurgaon +140 more
179,Pidilite Industries,4.3,2.4k,Chemicals , 5k-10k Employees , Public , 64 years old , Mumbai +206 more
180,Persistent Systems,3.9,2.4k,IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Pune +21 more
181,Team Lease,3.9,2.4k,Recruitment , 1k-5k Employees , Public , 7 years old , Bangalore/Bengaluru +264 more
182,Alkem Laboratories,4.0,2.4k,Pharma , 10k-50k Employees , Public , 50 years old , Mumbai +137 more
183,Atos,3.8,2.4k,IT Services & Consulting , 201-500 Employees , Forbes Global 2000 , 26 years old , Vilnius +37 more
184,Bharat Electronics,4.1,2.4k,Consumer Electronics & Appliances , 5k-10k Employees , Fortune India 500 , 69 years old , Bangalore/Bengaluru +39 more
185,Indian Air Force,4.6,2.4k,Defence & Aerospace , 1 Lakh+ Employees , 91 years old , New Delhi +108 more,
186,Alembic Pharmaceuticals,4.0,2.4k,Pharma , 10k-50k Employees , Public , 116 years old , Vadodara/Baroda +131 more
187,Cgi Group,4.2,2.4k,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 47 years old , Montreal +16 more
188,Wipro Consumer Care & Lighting,3.8,2.4k,FMCG , 1k-5k Employees , 78 years old , Bangalore/Bengaluru +84 more,
189,Hindustan Coca Cola Beverages,4.3,2.4k,Beverage , 5k-10k Employees , 26 years old , Bangalore +194 more,
190,Wipro Infotech,4.1,2.4k,IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC , 78 years old , Bangalore +116 more
191,Hindalco Industries,4.2,2.3k,Metals & Mining , 10k-50k Employees , Public , 65 years old , Mumbai +74 more
192,DCB Bank,3.9,2.3k,Banking , 5k-10k Employees , Fortune India 500 , 93 years old , Mumbai +288 more
193,Axis Direct,4.0,2.3k,Financial Services , 1k-5k Employees , 12 years old , San Mateo +266 more,
194,Publicis Sapient,3.6,2.3k,IT Services & Consulting , 10k-50k Employees , 33 years old , New York +17 more,
195,Vishal Mega Mart,3.8,2.3k,Retail , 10k-50k Employees , 15 years old , Gurgaon/Gurugram +294 more,
196,Glenmark Pharmaceuticals,4.0,2.3k,Pharma , 501-1k Employees , Public , 46 years old , Mumbai +121 more
197,CMS IT Services,3.2,2.3k,IT Services & Consulting , 5k-10k Employees , Startup , 9 years old , Bangalore +135 more
198,ABB Group,4.1,2.3k,Electrical Equipment , 10k-50k Employees , Public , 35 years old , Zurich +90 more
199,Access Healthcare,3.9,2.3k,IT Services & Consulting , 1k-5k Employees , 12 years old , Dallas +22 more,
200,R1 RCM,3.9,2.3k,Accounting & Auditing , 5k-10k Employees , 20 years old , Murray +21 more,
201,Ipca Laboratories,4.0,2.3k,Pharma , 10k-50k Employees , Public , 74 years old , Mumbai +108 more
202,NatWest Group,4.1,2.3k,Banking , 10k-50k Employees , Forbes Global 2000 , Gurgaon/Gurugram +21 more,
203,Standard Chartered Bank,3.9,2.3k,Banking , 10k-50k Employees , Fortune India 500 , 54 years old , London +57 more
204,DTDC Express,3.8,2.2k,Logistics , 1k-5k Employees , 33 years old , Bangalore/Bengaluru +213 more,
205,Honda Motorcycle & Scooter,4.2,2.2k,Automobile , 1k-5k Employees , 24 years old , Gurgaon/Gurugram +196 more,
206,Maersk,4.3,2.2k,Logistics , 10k-50k Employees , 119 years old , Copenhagen +28 more,
207,MRF Tyres,3.7,2.2k,Auto Components , 10k-50k Employees , Public , 77 years old , Chennai +160 more
208,Biocon,3.9,2.2k,Biotechnology , 10k-50k Employees , Public , 45 years old , Bangalore/Bengaluru +61 more
209,Aarti Industries,4.1,2.2k,Chemicals , 5k-10k Employees , Public , 48 years old , Mumbai +37 more
210,Tata AIA Life Insurance,4.0,2.2k,Insurance , 10k-50k Employees , 22 years old , Mumbai +271 more,
211,Bank of America,4.4,2.2k,Banking , 10k-50k Employees , Fortune India 500 , 25 years old , Charlotte +25 more
212,Reliance Nippon Life Insurance,3.9,2.2k,Insurance , 10k-50k Employees , 23 years old , Mumbai +412 more,
213,ITC Infotech,3.5,2.2k,IT Services & Consulting , 5k-10k Employees , 23 years old , Bangalore/Bengaluru +45 more,
214,Indiabulls Home Loans,3.8,2.2k,NBFC , 5k-10k Employees , Public , 18 years old , Gurgaon/Gurugram +176 more
215,Jindal Steel and Power,3.9,2.2k,Iron & Steel , 5k-10k Employees , Fortune India 500 , 44 years old , Delhi/NCR +98 more
216,Paras Hospital,4.6,2.2k,Healthcare , 5k-10k Employees , 17 years old , Gurgaon/Gurugram +36 more,
217,24/7 Customer,3.6,2.2k,Software Product , 5k-10k Employees , 23 years old , San Jose +22 more,
218,GATI-KWE,4.1,2.2k,Logistics , 1k-5k Employees , 11 years old , Hyderabad/Secunderabad +154 more,
219,Conduent,3.6,2.2k,IT Services & Consulting , 5k-10k Employees , 6 years old , Florham Park +19 more,
220,Aakash Educational Services,3.6,2.2k,EdTech , 10k-50k Employees , 35 years old , New Delhi +186 more,
221,Shoppers Stop,4.2,2.2k,Retail , 5k-10k Employees , Public , 32 years old , Mumbai +60 more
222,Berger Paints,3.7,2.2k,Chemicals , 1k-5k Employees , Public , 100 years old , Kolkata +209 more
223,HDFC Ergo General Insurance,4.0,2.2k,Insurance , 5k-10k Employees , Public , 21 years old , Mumbai +210 more
224,PolicyBazaar,3.5,2.1k,FinTech , 5k-10k Employees , Public , 15 years old , Gurgaon +63 more
225,Escorts Kubota Limited,4.1,2.1k,Automobile , 10k-50k Employees , Public , 63 years old , Faridabad +116 more
226,Ceat Tyres,4.0,2.1k,Auto Components , 5k-10k Employees , Public , 65 years old , Mumbai +99 more
227,RBL Bank,3.7,2.1k,Banking , 1k-5k Employees , Public , 80 years old , Mumbai +196 more
228,Utkarsh Small Finance Bank,3.9,2.1k,Banking , 10k-50k Employees , Public , 14 years old , Varanasi +271 more
229,Kotak Mahindara Life Insurance,3.8,2.1k,Insurance , 10k-50k Employees , Public , 22 years old , Mumbai +189 more
230,PNB MetLife,3.5,2.1k,Insurance , 5k-10k Employees , Conglomerate , 22 years old , Mumbai +294 more
231,Indian Oil Corporation,4.4,2.1k,Oil & Gas , 10k-50k Employees , Fortune India 500 , 64 years old , Delhi/NCR +224 more
232,Carelon Global Solutions,4.0,2.1k,IT Services & Consulting , 5k-10k Employees , Hyderabad/Secunderabad +9 more,,
233,Cogent E Services,3.3,2.1k,BPO , 10k-50k Employees , Conglomerate , 19 years old , Noida +31 more
234,Dabur,3.8,2.1k,FMCG , 5k-10k Employees , Public , 139 years old , Ghaziabad +221 more
235,GeBBS Healthcare Solutions,3.8,2.1k,BPO , 5k-10k Employees , 18 years old , Culver City +12 more,
236,ACC,4.0,2.1k,Building Material , 5k-10k Employees , Public , 87 years old , Mumbai +198 more
237,JK Cement,4.1,2.1k,Building Material , 1k-5k Employees , Public , 49 years old , Gurgaon/Gurugram +207 more
238,Reliance Digital,4.2,2.1k,Retail , 5k-10k Employees , 16 years old , Mumbai +277 more,
239,Marpu Foundation,4.9,2.1k,Non-Profit , 11-50 Employees , 7 years old , Hyderabad/Secunderabad +41 more,
240,Torrent Pharmaceuticals,3.9,2.1k,Pharma , 10k-50k Employees , Public , 52 years old , Ahmedabad +90 more
241,IndiGo,3.6,2.1k,Aviation , 10k-50k Employees , Fortune India 500 , 17 years old , Gurgaon/Gurugram +83 more
242,Bajaj Electricals,4.1,2k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 85 years old , Mumbai +182 more
243,Simplex Infrastructures,3.3,2k,Engineering & Construction , 1k-5k Employees , Public , 99 years old , Kolkata +128 more
