,name,rating,reviews,field,employees,ctype,old,location
3347,IKF Finance,3.9,198,NBFC , 1k-5k Employees , Public , 32 years old , Hyderabad/Secunderabad +64 more
3348,GKC Projects,4.1,198,Engineering & Construction , 501-1k Employees , 27 years old , Hyderabad/Secunderabad +25 more,
3349,Orchid Chemicals & Pharmaceuticals,3.7,198,Pharma , 1k-5k Employees , 31 years old , Chennai +22 more,
3350,Prism Johnson Limited - RMC (India) Division,4.1,198,Building Material , 501-1k Employees , Public , 27 years old , Mumbai +53 more
3351,Škoda Auto India,4.2,198,Automobile , 1k-5k Employees , Conglomerate , 22 years old , Aurangabad +30 more
3352,Schneider Electric Infrastructure,4.2,198,Electrical Equipment , 10k-50k Employees , Public , 187 years old , Rueil-Malmaison +21 more
3353,Gujarat Alkalies & Chemicals,4.4,198,Chemicals , 1k-5k Employees , Public , 50 years old , Bharuch +6 more
3354,Bajaj Energy,4.1,198,Power , 201-500 Employees , Public , 15 years old , Mumbai +14 more
3355,Metawallah,4.9,198,Internet , 51-200 Employees , Startup , 2 years old , Gurgaon/Gurugram +13 more
3356,Metrochem Api,3.5,198,Pharma , 201-500 Employees , 19 years old , Hyderabad/Secunderabad +6 more,
3357,GUS Education India,3.2,198,Education & Training , 1k-5k Employees , 6 years old , Hyderabad/Secunderabad +4 more,
3358,Burns & McDonnell,4.4,197,Engineering & Construction , 501-1k Employees , 125 years old , Kansas City +2 more,
3359,Grupo Antolin,3.6,197,Auto Components , 1k-5k Employees , 73 years old , Burgos +15 more,
3360,Abbott Nutrition International,4.1,197,Pharma , 11-50 Employees , 113 years old , Chicago +45 more,
3361,Burns & McDonnell,4.4,197,Engineering & Construction , 501-1k Employees , 125 years old , Kansas City +2 more,
3362,Jaipur Rugs,3.9,197,Furniture & Furnishing , 501-1k Employees , 45 years old , Jaipur +10 more,
3363,STAR,4.1,197,Broadcasting , 1k-5k Employees , Conglomerate , 29 years old , Mumbai +26 more
3364,Tablets (India),4.0,197,Pharma , 501-1k Employees , 85 years old , Chennai +34 more,
